Gender,Total Count,Sch_Div
Female,203,Colonial Elementary Botetourt County Public Schools
Male,237,Colonial Elementary Botetourt County Public Schools
Female,71,Eagle Rock Elementary Botetourt County Public Schools
Male,57,Eagle Rock Elementary Botetourt County Public Schools
Female,196,Greenfield Elementary Botetourt County Public Schools
Male,236,Greenfield Elementary Botetourt County Public Schools
Female,218,James River High Botetourt County Public Schools
Male,258,James River High Botetourt County Public Schools
Female,488,Lord Botetourt High Botetourt County Public Schools
Male,521,Lord Botetourt High Botetourt County Public Schools
Female,329,Read Mountain Middle Botetourt County Public Schools
Male,309,Read Mountain Middle Botetourt County Public Schools
Female,126,Troutville Elementary Botetourt County Public Schools
Male,133,Troutville Elementary Botetourt County Public Schools
Female,86,Highland View Elementary Bristol City Public Schools
Male,95,Highland View Elementary Bristol City Public Schools
Female,220,Joseph Van Pelt Elementary Bristol City Public Schools
Male,201,Joseph Van Pelt Elementary Bristol City Public Schools
Female,105,Stonewall Jackson Elementary Bristol City Public Schools
Male,135,Stonewall Jackson Elementary Bristol City Public Schools
Female,310,Virginia High Bristol City Public Schools
Male,329,Virginia High Bristol City Public Schools
Female,241,Virginia Middle Bristol City Public Schools
Male,245,Virginia Middle Bristol City Public Schools
Female,121,Washington-Lee Elementary Bristol City Public Schools
Male,112,Washington-Lee Elementary Bristol City Public Schools
Female,210,Brunswick High Brunswick County Public Schools
Male,229,Brunswick High Brunswick County Public Schools
Female,155,James S. Russell Middle Brunswick County Public Schools
Male,171,James S. Russell Middle Brunswick County Public Schools
Female,81,Meherrin Powellton Elementary Brunswick County Public Schools
Male,97,Meherrin Powellton Elementary Brunswick County Public Schools
Female,91,Red Oak-Sturgeon Elementary Brunswick County Public Schools
Male,90,Red Oak-Sturgeon Elementary Brunswick County Public Schools
Female,149,Totaro Elementary Brunswick County Public Schools
Male,146,Totaro Elementary Brunswick County Public Schools
Female,85,Council Elementary/Middle Buchanan County Public Schools
Male,92,Council Elementary/Middle Buchanan County Public Schools
Female,63,Council High Buchanan County Public Schools
Male,62,Council High Buchanan County Public Schools
Female,165,Grundy High Buchanan County Public Schools
Male,190,Grundy High Buchanan County Public Schools
Female,173,Hurley Elementary/Middle Buchanan County Public Schools
Male,192,Hurley Elementary/Middle Buchanan County Public Schools
Female,107,Hurley High Buchanan County Public Schools
Male,96,Hurley High Buchanan County Public Schools
