Sch_Div,Economically_Disadvantaged_No_Total_Count,Economically_Disadvantaged_Yes_Total_Count,English_Learners_No_Total_Count,English_Learners_Yes_Total_Count,Foster_Care_No_Total_Count,Foster_Care_Yes_Total_Count,Homeless_No_Total_Count,Homeless_Yes_Total_Count,Disabled_No_Total_Count,Disabled_Yes_Total_Count,Gender_Female_Total_Count,Gender_Male_Total_Count,Gender_Other_Total_Count,Race_American_Indian_Or_Alaska_Native_Percentage,Race_Asian_Percentage,Race_Black_Not_Of_Hispanic_Origin_Percentage,Race_Hispanic_Percentage,Native Hawaiian  or Pacific Islander,Race_Non_Hispanic_Two_Or_More_Races_Percentage,Race_White_Not_Of_Hispanic_Origin_Percentage,Teachers_Bachelors_Degree_Percentage,Teachers_Doctoral_Degree_Percentage,Teachers_Masters_Degree_Percentage,Free_And_Reduced_Lunch_Percent_Eligible,Total_Per_Pupil_Expenditures,Total_Expenditures,Number_of_Students_Missing_10__or_More_of_the_Days_Enrolled,Number_of_Students_Enrolled_for_Half_the_Year_or_More,Chronic_Absenteeism_Rate,Poverty_Level,Title1_Code,Percent_of_Inexperienced_Teachers,Percent_of_Out_of_Field_Teachers,Percent_of_Out_of_Field_and_Inexperienced_Teachers,Graduation_Completion_Index
Mathews High Mathews County Public Schools,159,134,292,,293,,290,,248,45,154,139,0,0.0,0.341296928,7.167235495,3.412969283,0.0,4.778156997,84.3003413,45,0,50,42.6,18575,5316997,98,289,33.91,Medium Poverty,Non-Title I,0.0,2.8,0.0,95.6
Matoaca High Chesterfield County Public Schools,"1,111",541,"1,596",25,"1,651",1,"1,641",11,"1,427",225,799,853,0,0.242130751,1.02905569,39.89104116,8.535108959,0.121065375,4.9031477,45.27845036,43,3,51,32.9,12062,18869244,427,1612,26.49,Medium Poverty,Non-Title I,2.4,4.0,1.6,93.0
McLean High Fairfax County Public Schools,"2,103",265,"2,169",98,"2,368",,"2,364",,"2,102",266,"1,161","1,204",3,0.168918919,25.33783784,4.307432432,12.28885135,0.04222973,6.334459459,51.52027027,20,2,78,9.0,15638,37146548,283,2373,11.93,Low Poverty,Non-Title I,5.1,9.6,1.9,99.2
Meadowbrook High Chesterfield County Public Schools,"1,017","1,075","1,389",369,"2,092",,"2,082",10,"1,865",227,"1,016","1,076",0,0.095602294,1.38623327,42.49521989,47.13193117,0.143403442,2.485659656,6.261950287,42,2,49,58.1,11072,22591794,1088,2086,52.16,Medium Poverty,Non-Title I,10.3,7.7,4.5,82.1
Mechanicsville High Hanover County Public Schools,938,401,"1,311",19,"1,339",,"1,337",,"1,141",198,632,707,0,0.298730396,2.16579537,9.036594473,5.675877521,0.074682599,5.00373413,77.74458551,27,1,71,20.0,11648,15264397,124,1336,9.28,Low Poverty,Non-Title I,8.4,3.7,1.9,97.8
Menchville High Newport News City Public Schools,"1,000",733,"1,566",153,"1,732",1,"1,710",23,"1,488",245,796,935,2,0.230813618,3.866128102,34.44893249,18.06116561,0.288517023,6.520484709,36.58395845,32,0,50,76.5,13663,23353911,334,1719,19.43,High Poverty,Non-Title I,2.4,17.5,2.4,98.6
Meridian High Falls Church City Public Schools,766,83,806,24,847,2,849,,749,100,417,431,1,0.0,7.067137809,4.004711425,14.25206125,0.0,10.60070671,64.0753828,19,3,76,0.0,24193,20332183,90,859,10.48,Medium Poverty,Non-Title I,5.6,5.6,0.0,99.1
Middlesex High Middlesex County Public Schools,150,185,332,,335,,335,,282,53,158,177,0,0.298507463,0.298507463,17.31343284,4.47761194,0.0,2.985074627,74.62686567,46,0,46,36.6,17717,5742861,92,335,27.46,Medium Poverty,Non-Title I,3.0,18.2,3.0,94.0
Midlothian High Chesterfield County Public Schools,"1,785",209,"1,915",22,"1,994",,"1,992",,"1,755",239,"1,005",989,0,0.250752257,6.168505517,10.53159478,5.516549649,0.250752257,4.162487462,73.11935807,45,3,50,10.9,11446,21952136,304,1999,15.21,Low Poverty,Non-Title I,6.4,2.1,0.7,98.5
Millbrook High Frederick County Public Schools,863,659,"1,389",107,"1,520",2,"1,498",24,"1,323",199,779,743,0,0.131406045,2.431011827,6.044678055,33.63994744,0.0,3.94218134,53.8107753,39,3,55,34.1,12306,18398321,475,1483,32.03,Medium Poverty,Non-Title I,1.6,2.3,0.8,92.9
Mills E. Godwin High Henrico County Public Schools,"1,449",407,"1,776",54,"1,853",3,"1,856",,"1,658",198,901,955,0,0.05387931,15.24784483,8.836206897,7.596982759,0.05387931,5.172413793,63.0387931,36,2,62,16.0,10383,18659348,321,1861,17.25,Low Poverty,Non-Title I,0.9,0.0,0.0,96.7
Monacan High Chesterfield County Public Schools,"1,122",490,"1,446",56,"1,598",14,"1,605",,"1,427",185,848,764,0,0.310173697,4.032258065,24.37965261,15.01240695,0.124069479,3.908188586,52.23325062,40,2,57,30.0,11610,18086731,397,1586,25.03,Low Poverty,Non-Title I,6.2,8.8,1.8,95.7
Monticello High Albemarle County Public Schools,841,379,"1,147",59,"1,219",1,"1,216",,"1,048",172,611,609,0,0.081967213,2.786885246,11.14754098,16.8852459,0.163934426,7.131147541,61.80327869,32,3,61,29.5,15384,18438565,267,1196,22.32,Low Poverty,Non-Title I,5.6,2.4,0.8,93.5
Mount Vernon High Fairfax County Public Schools,767,"1,201","1,425",439,"1,962",6,"1,956",12,"1,583",385,949,"1,019",0,0.203252033,5.030487805,22.96747967,51.32113821,0.406504065,3.25203252,16.81910569,24,3,72,58.3,18828,36626913,526,1947,27.02,Medium Poverty,Non-Title I,2.8,15.3,1.1,90.4
Mountain View High Fairfax County Public Schools,49,105,45,108,152,2,147,,137,17,71,82,1,0.0,10.38961039,7.142857143,69.48051948,0.0,0.0,12.98701299,15,2,83,45.3,43768,6765154,102,149,68.46,Medium Poverty,Non-Title I,2.6,7.9,0.0,62.9
Mountain View High Shenandoah County Public Schools,341,259,552,31,597,3,599,,505,95,290,308,2,0.166666667,0.5,1.666666667,18.0,0.0,2.333333333,77.33333333,30,2,67,44.1,13492,8033519,232,596,38.93,Medium Poverty,Non-Title I,1.9,7.4,0.0,94.1
Nandua High Accomack County Public Schools,391,261,581,40,650,2,633,19,552,100,301,351,0,0.0,1.380368098,40.03067485,20.70552147,0.0,0.766871166,37.11656442,42,0,49,91.0,12317,7898977,139,644,21.58,High Poverty,Non-Title I,3.4,15.5,1.7,85.8
Nansemond River High Suffolk City Public Schools,"1,288",374,"1,649",,"1,660",2,"1,662",,"1,472",190,824,838,0,0.240673887,2.346570397,48.73646209,8.363417569,0.481347774,6.197352587,33.63417569,45,2,49,23.8,11630,18943263,469,1648,28.46,Low Poverty,Non-Title I,0.9,2.6,0.0,92.6
Narrows High Giles County Public Schools,284,142,426,,426,,426,,359,67,224,202,0,0.0,1.643192488,6.807511737,7.511737089,0.234741784,3.755868545,80.04694836,43,0,57,47.7,10890,4685826,39,438,8.9,Medium Poverty,Non-Title I,7.5,3.8,0.0,87.3
Nelson County High Nelson County Public Schools,228,317,536,,544,1,545,,449,96,255,290,0,0.366972477,0.0,13.94495413,7.339449541,0.0,5.871559633,72.47706422,31,3,59,46.2,17093,8967674,198,530,37.36,Medium Poverty,Non-Title I,7.0,8.8,1.8,92.5
North Stafford High Stafford County Public Schools,"1,243",622,"1,662",150,"1,862",3,"1,863",,"1,600",265,895,969,1,0.107238606,3.485254692,25.4155496,33.78016086,0.321715818,7.024128686,29.86595174,42,1,44,40.7,12479,21986583,372,1827,20.36,Medium Poverty,Non-Title I,7.1,17.1,5.0,93.9
Northampton High Northampton County Public Schools,85,341,383,31,425,1,390,36,347,79,197,229,0,0.704225352,0.938967136,39.6713615,24.88262911,0.0,4.225352113,29.57746479,57,2,34,72.1,16309,6730848,173,427,40.52,High Poverty,Non-Title I,19.5,4.9,4.9,89.9
Northside High Roanoke County Public Schools,566,347,881,25,897,16,912,,779,134,454,458,1,0.109529025,6.790799562,17.52464403,10.51478642,0.0,7.228915663,57.8313253,39,0,59,35.9,11639,10344115,172,900,19.11,Medium Poverty,Non-Title I,10.1,1.3,1.3,94.1
Northumberland High Northumberland County Public Schools,192,169,357,,361,,360,,303,58,166,195,0,0.0,0.55401662,38.22714681,7.479224377,0.27700831,2.493074792,50.96952909,32,5,59,77.9,17360,6307023,113,362,31.22,High Poverty,Non-Title I,2.4,2.4,2.4,95.1
Northwood High Smyth County Public Schools,113,129,241,,240,2,242,,199,43,108,134,0,0.41322314,0.826446281,1.239669421,2.479338843,0.0,0.41322314,94.62809917,52,0,48,75.8,13617,3257685,47,240,19.58,High Poverty,Non-Title I,7.5,7.5,5.0,98.4
Norview High Norfolk City Public Schools,838,"1,051","1,743",125,"1,888",1,"1,865",24,"1,668",221,892,997,0,0.63525675,3.176283748,53.04393859,15.24616199,0.264690312,7.411328745,20.22233986,41,3,50,56.8,12060,22439636,356,1871,19.03,Medium Poverty,Non-Title I,3.8,5.3,0.0,92.7
Nottoway High Nottoway County Public Schools,242,322,541,17,562,2,563,,488,76,264,299,1,0.531914894,0.531914894,44.5035461,7.269503546,0.0,4.078014184,43.08510638,54,2,42,90.9,12923,7051223,151,541,27.91,High Poverty,Non-Title I,3.6,8.9,1.8,85.6
Oakton High Fairfax County Public Schools,"2,286",352,"2,418",132,"2,637",1,"2,633",,"2,351",287,"1,255","1,380",3,0.189537528,30.6671721,5.724033359,11.25852919,0.303260045,7.088703563,44.76876422,28,2,68,10.9,15413,40656981,384,2638,14.56,Low Poverty,Non-Title I,3.9,7.2,0.0,97.9
Ocean Lakes High Virginia Beach City Public Schools,"1,342",637,"1,949",20,"1,979",,"1,977",,"1,767",212,921,"1,057",1,0.050530571,8.034360788,13.54219303,11.6725619,0.454775139,10.91460334,55.33097524,45,1,51,26.9,12733,24387686,415,1931,21.49,Low Poverty,Non-Title I,1.5,3.0,0.0,97.4
Osbourn High Manassas City Public Schools,"1,449",819,"1,563",520,"2,263",5,"2,264",,"1,992",276,"1,102","1,165",1,0.220458554,3.703703704,9.347442681,69.17989418,0.0,4.497354497,13.05114638,29,2,65,51.8,14376,32454391,684,2270,30.13,Medium Poverty,Non-Title I,1.9,22.8,1.9,82.6
Osbourn Park High Prince William County Public Schools,"1,568","1,189","2,348",315,"2,756",1,"2,752",,"2,537",220,"1,434","1,323",0,0.217627856,14.79869423,17.26514327,38.73775843,0.326441785,4.715270221,23.9390642,29,1,68,34.9,12353,33974171,820,2768,29.62,Medium Poverty,Non-Title I,15.5,3.6,0.0,92.7
Oscar F. Smith High Chesapeake City Public Schools,815,"1,453","2,174",82,"2,255",13,"2,257",11,"1,809",459,"1,113","1,154",1,0.176366843,2.601410935,56.43738977,13.58024691,0.440917108,7.010582011,19.75308642,38,3,56,57.9,12942,28778450,771,2225,34.65,Medium Poverty,Non-Title I,2.8,0.6,0.0,93.1
Page County High Page County Public Schools,313,239,546,,544,8,552,,508,44,268,284,0,0.18115942,0.362318841,1.086956522,4.891304348,0.0,1.992753623,91.48550725,46,5,46,46.6,11743,6407732,188,545,34.5,Medium Poverty,Non-Title I,7.9,6.3,0.0,99.2
Park View High Loudoun County Public Schools,337,"1,072",863,474,"1,408",1,"1,265",144,"1,224",185,665,743,1,0.993612491,10.50390348,5.180979418,70.75940383,0.070972321,1.916252661,10.5748758,27,2,68,66.3,21854,30919565,461,1413,32.63,High Poverty,Title I,8.8,8.1,3.1,88.2
Parry McCluer High Buena Vista City Public Schools,192,153,344,,345,,345,,291,54,160,185,0,0.869565217,0.0,5.797101449,2.028985507,0.0,2.898550725,88.4057971,43,0,50,50.4,13650,4613527,117,344,34.01,Medium Poverty,Non-Title I,3.8,23.1,0.0,91.2
Patrick County High Patrick County Public Schools,456,411,845,15,866,1,829,38,744,123,412,455,0,0.115340254,0.692041522,5.074971165,9.803921569,0.0,3.921568627,80.39215686,48,1,46,69.1,12793,10444934,160,788,20.3,High Poverty,Non-Title I,1.3,6.4,0.0,94.5
Patrick Henry High Hanover County Public Schools,879,471,"1,311",32,"1,350",,"1,346",,"1,163",187,612,737,1,0.074074074,1.62962963,12.22222222,11.55555556,0.0,4.888888889,69.62962963,33,3,65,27.1,12146,15761335,204,1326,15.38,Low Poverty,Non-Title I,6.7,4.8,1.0,92.2
Patrick Henry High Roanoke City Public Schools,973,"1,066","1,934",80,"2,018",21,"2,003",36,"1,706",333,"1,013","1,022",4,0.098087298,1.814615007,37.22412948,9.269249632,0.0,3.38401177,48.20990682,37,1,50,100.0,13405,26585418,736,2014,36.54,High Poverty,Non-Title I,3.5,4.9,0.7,91.3
Patrick Henry High Washington County Public Schools,207,192,399,,394,5,399,,324,75,203,196,0,0.0,0.250626566,1.253132832,2.756892231,0.0,1.503759398,94.23558897,46,2,51,49.3,12577,4810847,92,371,24.8,Medium Poverty,Non-Title I,1.6,9.5,1.6,95.9
Patriot High Prince William County Public Schools,"1,931",414,"2,226",69,"2,343",2,"2,340",,"2,056",289,"1,097","1,247",1,0.170575693,13.17697228,12.02558635,18.08102345,0.298507463,6.140724947,50.10660981,26,1,72,13.9,13160,30510862,448,2307,19.42,Low Poverty,Non-Title I,5.7,6.4,0.6,97.7
Petersburg High Petersburg City Public Schools,223,804,977,26,"1,026",1,"1,024",,878,149,521,506,0,0.097370983,0.584225901,88.41285297,7.594936709,0.194741967,0.584225901,2.53164557,45,0,46,100.0,16072,14764845,521,998,52.2,High Poverty,Non-Title I,5.0,13.8,3.8,88.2
Phoebus High Hampton City Public Schools,560,703,"1,251",,"1,258",5,"1,249",14,"1,049",214,525,738,0,0.158353127,0.63341251,68.5669042,6.096595408,0.158353127,8.788598575,15.59778306,46,1,43,61.1,12424,15344854,187,1231,15.19,Medium Poverty,Non-Title I,2.3,0.0,0.0,95.9
Poquoson High Poquoson City Public Schools,568,131,694,,699,,699,,624,75,343,356,0,0.572246066,1.430615165,1.859799714,3.433476395,0.429184549,4.43490701,87.8397711,42,2,55,14.2,12022,8332191,98,693,14.14,Low Poverty,Non-Title I,3.3,3.3,1.6,96.0
Potomac Falls High Loudoun County Public Schools,"1,120",501,"1,453",117,"1,617",4,"1,591",30,"1,420",201,806,813,2,0.678593461,14.49722394,10.48735349,25.7248612,0.061690315,5.181986428,43.36829118,26,2,72,21.7,18519,29749227,328,1589,20.64,Low Poverty,Non-Title I,4.6,2.6,0.0,96.4
Potomac High Prince William County Public Schools,883,"1,121","1,681",246,"1,997",7,"1,996",,"1,684",320,896,"1,107",1,0.349301397,8.832335329,44.86027944,29.74051896,0.249500998,5.638722555,10.32934132,32,1,63,49.7,13615,26861901,812,1990,40.8,Medium Poverty,Non-Title I,6.9,3.8,0.8,89.3
Powhatan High Powhatan County Public Schools,"1,180",273,"1,449",,"1,450",3,"1,448",,"1,257",196,681,772,0,0.344115623,0.344115623,5.57467309,4.129387474,0.137646249,3.234686855,86.23537509,43,2,50,17.0,11420,15710497,293,1393,21.03,Low Poverty,Non-Title I,6.1,0.9,0.0,95.9
Prince Edward County High Prince Edward County Public Schools,284,296,570,,573,7,580,,493,87,291,289,0,0.172413793,0.862068966,57.93103448,4.655172414,0.0,2.413793103,33.96551724,44,0,50,61.2,15179,8366619,264,553,47.74,Medium Poverty,Non-Title I,12.0,10.0,4.0,80.9
Prince George High Prince George County Public Schools,"1,030",756,"1,763",13,"1,780",6,"1,778",,"1,545",241,887,899,0,0.167973124,1.231802912,30.73908175,11.31019037,0.951847704,6.998880179,48.60022396,50,2,41,36.4,10875,18681847,658,1754,37.51,Medium Poverty,Non-Title I,2.6,11.7,1.3,89.2
Princess Anne High Virginia Beach City Public Schools,"1,113",596,"1,654",37,"1,706",3,"1,695",14,"1,482",227,883,822,4,0.292568754,10.29842013,17.43709772,10.82504389,0.292568754,10.23990638,50.61439438,43,2,50,28.1,14264,24009570,95,1703,5.58,Low Poverty,Non-Title I,4.3,5.0,0.0,94.9
Pulaski County Senior High Pulaski County Public Schools,701,526,"1,205",19,"1,221",6,"1,218",,"1,049",178,606,621,0,0.32599837,0.65199674,5.54197229,3.667481663,0.0,5.623471883,84.18907905,39,1,52,46.5,13285,15912298,310,1202,25.79,Medium Poverty,Non-Title I,12.7,3.0,0.7,93.7
Radford High Radford City Public Schools,624,205,820,,829,,827,,756,73,437,392,0,0.241254524,4.945717732,13.26899879,6.031363088,0.241254524,8.2026538,67.06875754,38,2,55,35.3,10952,9154693,79,833,9.48,Medium Poverty,Non-Title I,1.1,5.5,0.0,96.4
Rappahannock County High Rappahannock County Public Schools,189,114,286,14,302,1,299,,259,44,131,172,0,0.0,0.330033003,1.320132013,11.22112211,0.0,5.940594059,81.18811881,39,0,53,30.1,19205,5834128,100,305,32.79,Low Poverty,Non-Title I,2.7,16.2,0.0,97.0
Rappahannock High Richmond County Public Schools,291,250,510,,540,1,535,,479,62,260,281,0,0.0,0.554528651,21.99630314,14.41774492,0.0,4.251386322,58.78003697,58,0,37,74.1,11729,6269412,99,533,18.57,High Poverty,Non-Title I,4.9,9.8,2.4,96.9
Richlands High Tazewell County Public Schools,277,403,677,,678,2,679,,539,141,330,350,0,0.0,0.294117647,0.735294118,0.441176471,0.0,1.617647059,96.91176471,59,0,39,51.1,10270,6754672,181,655,27.63,Medium Poverty,Non-Title I,10.9,15.6,1.6,96.2
Ridgeview High Dickenson County Public Schools,298,304,600,,598,4,602,,493,109,279,323,0,0.0,0.332225914,0.996677741,0.830564784,0.0,0.49833887,97.34219269,57,3,32,70.2,13896,8250027,251,584,42.98,High Poverty,Non-Title I,2.1,0.0,0.0,89.1
Riverheads High Augusta County Public Schools,309,168,472,,473,4,477,,434,43,204,273,0,0.209643606,0.838574423,1.677148847,4.192872117,0.0,2.306079665,90.77568134,53,0,39,31.1,12749,5773609,97,465,20.86,Medium Poverty,Non-Title I,6.7,4.4,0.0,97.2
Riverside High Loudoun County Public Schools,"1,563",259,"1,754",49,"1,821",1,"1,806",16,"1,641",181,884,935,3,0.493962678,20.19758507,8.122941822,11.96487377,0.054884742,5.927552141,53.23819978,22,3,73,9.6,17158,31155667,247,1804,13.69,Low Poverty,Non-Title I,2.5,1.9,0.0,98.9
Rock Ridge High Loudoun County Public Schools,"1,162",234,"1,297",56,"1,395",1,"1,390",,"1,285",111,683,712,1,0.716332378,52.36389685,9.670487106,9.169054441,0.214899713,5.014326648,22.85100287,17,2,80,11.8,18152,25535966,196,1387,14.13,Low Poverty,Non-Title I,7.8,10.2,0.8,99.4
Rockbridge County High Rockbridge County Public Schools,594,445,"1,020",10,"1,039",,"1,036",,912,127,504,535,0,0.577478345,1.539942252,5.10105871,4.908565929,0.096246391,3.75360924,84.02309913,39,5,50,33.3,13014,12793437,365,1012,36.07,Medium Poverty,Non-Title I,4.5,5.6,2.2,85.6
Rural Retreat High Wythe County Public Schools,189,132,321,,314,7,318,,294,27,151,170,0,0.0,0.0,0.934579439,2.180685358,0.0,1.557632399,95.3271028,55,0,42,41.1,12345,3768970,104,309,33.66,Medium Poverty,Non-Title I,0.0,0.0,0.0,95.2
Rustburg High Campbell County Public Schools,469,336,790,,802,3,805,,701,104,401,404,0,0.124223602,0.869565217,12.17391304,4.347826087,0.0,5.341614907,77.14285714,48,2,48,45.2,11339,8964947,152,800,19.0,Medium Poverty,Non-Title I,0.0,4.8,0.0,98.6
Rye Cove High Scott County Public Schools,,254,254,,254,,254,,208,46,118,136,0,0.0,0.0,1.181102362,3.149606299,0.0,1.181102362,94.48818898,48,0,41,65.8,11052,2794890,98,253,38.74,High Poverty,Non-Title I,12.0,16.0,8.0,95.0
Salem High Salem City Public Schools,810,439,"1,176",35,"1,244",5,"1,243",,"1,072",177,589,660,0,0.080064051,2.962369896,12.32986389,7.926341073,0.0,5.204163331,71.49719776,31,1,62,30.8,12901,15882804,295,1244,23.71,Medium Poverty,Non-Title I,2.8,10.3,2.8,94.9
Salem High Virginia Beach City Public Schools,"1,023",641,"1,640",16,"1,662",2,"1,662",,"1,484",180,899,763,2,0.240384615,8.713942308,26.68269231,13.22115385,0.901442308,12.56009615,37.68028846,50,1,43,34.1,12597,20465148,269,1625,16.55,Medium Poverty,Non-Title I,4.2,5.0,0.8,96.1
Sherando High Frederick County Public Schools,"1,040",562,"1,513",73,"1,599",3,"1,589",13,"1,377",225,772,830,0,0.0,1.560549313,4.868913858,18.03995006,0.312109863,5.680399501,69.5380774,35,3,60,25.9,12794,19979901,364,1554,23.42,Low Poverty,Non-Title I,2.2,5.1,1.5,96.3
Skyline High Warren County Public Schools,487,394,850,24,881,,875,,765,116,434,444,3,0.454029512,0.794551646,6.583427923,8.286038593,0.113507378,8.513053348,75.2553916,60,0,38,37.6,13712,11980352,415,881,47.11,Medium Poverty,Non-Title I,6.5,9.1,1.3,95.0
Smithfield High Isle of Wight County Public Schools,975,363,"1,324",10,"1,329",9,"1,337",,"1,167",171,663,675,0,0.597907324,1.34529148,28.69955157,5.754857997,0.298953662,7.025411061,56.27802691,42,0,44,29.1,11148,14258649,362,1277,28.35,Low Poverty,Non-Title I,13.8,10.3,9.2,95.6
South County High Fairfax County Public Schools,"1,726",573,"2,149",111,"2,293",6,"2,297",,"1,968",331,"1,121","1,177",1,0.043497173,18.26881253,23.79295346,15.87646803,0.173988691,6.437581557,35.40669856,25,0,73,20.7,16091,36966216,501,2305,21.74,Low Poverty,Non-Title I,1.9,10.2,0.0,99.1
South Lakes High Fairfax County Public Schools,"1,759",825,"2,195",301,"2,580",4,"2,573",11,"2,098",486,"1,204","1,364",16,0.116099071,11.14551084,12.26780186,24.96130031,0.116099071,7.933436533,43.45975232,22,4,72,28.5,17153,43791837,521,2562,20.34,Low Poverty,Non-Title I,2.5,13.4,0.5,96.4
Southampton High Southampton County Public Schools,471,278,748,,747,2,743,,649,100,352,397,0,0.133511348,0.267022697,38.31775701,2.670226969,0.133511348,2.403204272,56.07476636,54,4,33,35.6,13173,9528859,121,742,16.31,Medium Poverty,Non-Title I,20.0,20.0,14.0,88.4
Spotswood High Rockingham County Public Schools,584,368,850,79,948,4,947,,857,95,467,484,1,0.420168067,4.201680672,2.941176471,23.42436975,0.0,5.462184874,63.55042017,44,0,55,34.2,12464,11613146,275,932,29.51,Medium Poverty,Non-Title I,2.7,5.5,2.7,93.8
Spotsylvania High Spotsylvania County Public Schools,727,580,"1,274",32,"1,302",5,"1,299",,"1,114",193,620,686,1,0.229533282,1.912777353,11.85921959,14.38408569,0.076511094,7.192042846,64.34583015,44,1,46,33.8,12143,15382101,398,1271,31.31,Medium Poverty,Non-Title I,13.3,13.3,9.2,89.1
Stafford Senior High Stafford County Public Schools,"1,482",580,"1,957",84,"2,058",4,"2,046",16,"1,774",288,986,"1,075",1,0.387972842,3.491755577,18.04073715,16.6828322,0.193986421,7.032007759,54.17070805,33,3,52,29.6,12198,23695531,537,2015,26.65,Low Poverty,Non-Title I,9.1,16.8,4.9,93.1
Staunton High Staunton City Public Schools,492,348,818,18,833,7,828,12,725,115,407,433,0,0.357142857,1.785714286,15.5952381,7.738095238,0.0,11.19047619,63.33333333,51,0,46,38.0,13796,11220000,327,829,39.45,Medium Poverty,Non-Title I,1.6,3.2,0.0,92.1
Staunton River High Bedford County Public Schools,475,444,917,,914,5,907,12,798,121,429,490,0,0.108813928,0.217627856,4.78781284,4.678998912,0.0,3.699673558,86.50707291,53,1,46,49.0,11976,10791299,233,897,25.98,Medium Poverty,Non-Title I,2.9,5.9,0.0,92.6
Stone Bridge High Loudoun County Public Schools,"1,483",257,"1,662",44,"1,740",,"1,731",,"1,504",236,791,948,1,0.114942529,20.22988506,6.781609195,11.95402299,0.057471264,6.034482759,54.82758621,25,4,70,10.4,18308,31525977,254,1714,14.82,Low Poverty,Non-Title I,4.5,7.6,1.3,98.4
Strasburg High Shenandoah County Public Schools,364,208,557,,572,,570,,501,71,279,292,1,0.0,0.174825175,4.545454545,8.216783217,0.0,4.370629371,82.69230769,48,2,50,28.0,12448,7013601,237,571,41.51,Low Poverty,Non-Title I,2.0,4.1,0.0,99.8
Stuarts Draft High Augusta County Public Schools,447,264,700,,711,,708,,629,82,336,375,0,0.140646976,1.687763713,2.953586498,5.485232068,0.0,5.76652602,83.96624473,40,0,56,32.1,12541,8641466,116,710,16.34,Medium Poverty,Non-Title I,3.1,3.1,0.0,98.4
Surry County High Surry County Public Schools,128,100,228,,228,,228,,174,54,110,118,0,0.0,0.438596491,50.87719298,1.754385965,0.0,5.263157895,41.66666667,38,3,56,50.4,28111,5961009,79,217,36.41,Medium Poverty,Non-Title I,2.7,13.5,0.0,95.7
Sussex Central High Sussex County Public Schools,143,169,310,,312,,311,,271,41,155,157,0,0.320512821,0.641025641,71.79487179,5.769230769,0.0,3.846153846,17.62820513,41,4,43,87.9,19661,5657006,93,310,30.0,High Poverty,Non-Title I,4.5,6.8,0.0,88.5
Tabb High York County Public Schools,882,201,"1,048",14,"1,081",2,"1,081",,971,112,550,533,0,0.092336103,7.479224377,12.28070175,13.01939058,0.831024931,10.24930748,56.04801477,34,2,60,16.0,10347,11046603,133,1065,12.49,Low Poverty,Non-Title I,4.3,0.0,0.0,98.2
Tallwood High Virginia Beach City Public Schools,986,850,"1,797",22,"1,829",7,"1,827",,"1,596",240,948,887,1,0.054466231,7.625272331,34.04139434,12.03703704,0.816993464,11.65577342,33.76906318,45,1,53,38.9,12631,22858000,448,1804,24.83,Medium Poverty,Non-Title I,3.1,2.3,0.0,95.9
Tazewell High Tazewell County Public Schools,208,306,514,,511,3,514,,408,106,251,263,0,0.0,0.778210117,2.529182879,0.389105058,0.0,4.474708171,91.82879377,50,0,47,53.2,10918,5379995,166,485,34.23,Medium Poverty,Non-Title I,17.2,21.9,6.3,96.9
Thomas Dale High Chesterfield County Public Schools,"1,724",849,"2,296",110,"2,562",11,"2,564",,"2,218",355,"1,344","1,229",0,0.233190828,2.759424796,33.89040031,19.27710843,0.38865138,4.858142246,38.59308201,45,2,52,34.5,11583,28699550,614,2546,24.12,Medium Poverty,Non-Title I,7.2,4.4,1.7,94.2
Thomas Walker High Lee County Public Schools,118,171,289,,278,11,289,,227,62,142,147,0,0.0,0.0,2.422145329,2.076124567,0.0,0.692041522,94.80968858,63,0,26,94.5,13575,3772284,52,276,18.84,High Poverty,Non-Title I,2.9,14.3,0.0,89.8
Tunstall High Pittsylvania County Public Schools,489,346,815,13,834,1,834,,736,99,406,428,1,0.119760479,1.317365269,12.09580838,7.904191617,0.119760479,1.556886228,76.88622754,49,0,49,44.0,11192,8936555,193,791,24.4,Medium Poverty,Non-Title I,5.1,12.8,0.0,90.1
Turner Ashby High Rockingham County Public Schools,637,379,933,68,"1,015",1,"1,016",,925,91,484,532,0,0.295275591,0.984251969,2.165354331,15.84645669,0.295275591,3.74015748,76.67322835,56,0,44,30.8,12085,11995303,289,993,29.1,Medium Poverty,Non-Title I,3.8,2.6,1.3,94.5
Tuscarora High Loudoun County Public Schools,918,483,"1,210",153,"1,401",,"1,380",21,"1,202",199,659,737,5,0.642398287,7.637401856,8.35117773,29.97858672,0.28551035,5.139186296,47.96573876,19,3,76,26.0,20277,28603214,339,1393,24.34,Low Poverty,Non-Title I,2.1,7.0,0.0,94.6
Twin Springs High Scott County Public Schools,,245,243,,243,2,245,,198,47,125,120,0,0.0,0.0,0.0,6.530612245,0.0,1.224489796,92.24489796,47,3,50,78.4,12570,3062708,63,246,25.61,High Poverty,Title I,7.4,18.5,0.0,89.6
Twin Valley High Buchanan County Public Schools,73,125,198,,197,1,198,,165,33,90,108,0,0.0,0.505050505,0.0,1.01010101,0.0,0.505050505,97.97979798,58,6,36,84.1,13227,2591692,34,196,17.35,High Poverty,Non-Title I,6.7,0.0,0.0,91.9
Union High Wise County Public Schools,264,312,576,,572,4,564,12,498,78,267,309,0,0.0,0.347222222,3.993055556,1.041666667,0.173611111,2.430555556,92.01388889,61,0,32,87.7,9923,5523888,110,559,19.68,High Poverty,Non-Title I,1.8,1.8,0.0,95.9
