Sch_Div,Disadvantaged,Total Count
Brookville Middle Campbell County Public Schools,Y,296
Brookwood Elementary Virginia Beach City Public Schools,N,226
Brookwood Elementary Virginia Beach City Public Schools,Y,342
Brosville Elementary Pittsylvania County Public Schools,N,97
Brosville Elementary Pittsylvania County Public Schools,Y,113
Brownsville Elementary Albemarle County Public Schools,N,657
Brownsville Elementary Albemarle County Public Schools,Y,99
Brunswick High Brunswick County Public Schools,N,115
Brunswick High Brunswick County Public Schools,Y,324
Bruton High York County Public Schools,N,485
Bruton High York County Public Schools,Y,174
Bryant High Fairfax County Public Schools,N,40
Bryant High Fairfax County Public Schools,Y,100
Buchanan Elementary Botetourt County Public Schools,N,191
Buchanan Elementary Botetourt County Public Schools,Y,109
Buckingham Co Elementary Buckingham County Public Schools,N,178
Buckingham Co Elementary Buckingham County Public Schools,Y,234
Buckingham Co Prekindergarten Center Buckingham County Public Schools,N,45
Buckingham Co Prekindergarten Center Buckingham County Public Schools,Y,43
Buckingham Co Primary Buckingham County Public Schools,N,122
Buckingham Co Primary Buckingham County Public Schools,Y,211
Buckingham County High Buckingham County Public Schools,N,308
Buckingham County High Buckingham County Public Schools,Y,288
Buckingham County Middle Buckingham County Public Schools,N,219
Buckingham County Middle Buckingham County Public Schools,Y,285
Buckland Mills Elementary Prince William County Public Schools,N,558
Buckland Mills Elementary Prince William County Public Schools,Y,181
Bucknell Elementary Fairfax County Public Schools,N,100
Bucknell Elementary Fairfax County Public Schools,Y,161
Buffalo Gap High Augusta County Public Schools,N,265
Buffalo Gap High Augusta County Public Schools,Y,187
Buffalo Trail Elementary Loudoun County Public Schools,N,794
Buffalo Trail Elementary Loudoun County Public Schools,Y,75
Buford Middle Charlottesville City Public Schools,N,241
Buford Middle Charlottesville City Public Schools,Y,358
Bull Run Early Childhood Resource Center Fairfax County Public Schools,N,163
Bull Run Early Childhood Resource Center Fairfax County Public Schools,Y,
Bull Run Elementary Fairfax County Public Schools,N,447
Bull Run Elementary Fairfax County Public Schools,Y,271
Bull Run Middle Prince William County Public Schools,N,698
Bull Run Middle Prince William County Public Schools,Y,410
Burlington Elementary Roanoke County Public Schools,N,226
Burlington Elementary Roanoke County Public Schools,Y,224
Burnley-Moran Elementary Charlottesville City Public Schools,N,220
Burnley-Moran Elementary Charlottesville City Public Schools,Y,102
Burnt Chimney Elementary Franklin County Public Schools,N,147
Burnt Chimney Elementary Franklin County Public Schools,Y,104
Bush Hill Elementary Fairfax County Public Schools,N,483
Bush Hill Elementary Fairfax County Public Schools,Y,155
Butts Road Intermediate Chesapeake City Public Schools,N,537
Butts Road Intermediate Chesapeake City Public Schools,Y,80
Butts Road Primary Chesapeake City Public Schools,N,482
Butts Road Primary Chesapeake City Public Schools,Y,72
Byrd Elementary Goochland County Public Schools,N,192
Byrd Elementary Goochland County Public Schools,Y,108
C. Alton Lindsay Middle Hampton City Public Schools,N,276
