Disabled,Total Count,Sch_Div
Y,51,Bedford Elementary Bedford County Public Schools
N,209,Bedford Primary Bedford County Public Schools
Y,66,Bedford Primary Bedford County Public Schools
N,133,Big Island Elementary Bedford County Public Schools
Y,13,Big Island Elementary Bedford County Public Schools
N,317,Boonsboro Elementary Bedford County Public Schools
Y,23,Boonsboro Elementary Bedford County Public Schools
N,333,Forest Elementary Bedford County Public Schools
Y,18,Forest Elementary Bedford County Public Schools
N,805,Forest Middle Bedford County Public Schools
Y,76,Forest Middle Bedford County Public Schools
N,410,Goodview Elementary Bedford County Public Schools
Y,73,Goodview Elementary Bedford County Public Schools
N,192,Huddleston Elementary Bedford County Public Schools
Y,25,Huddleston Elementary Bedford County Public Schools
N,"1,171",Jefferson Forest High Bedford County Public Schools
Y,112,Jefferson Forest High Bedford County Public Schools
N,600,Liberty High Bedford County Public Schools
Y,113,Liberty High Bedford County Public Schools
N,454,Liberty Middle Bedford County Public Schools
Y,88,Liberty Middle Bedford County Public Schools
N,197,Moneta Elementary Bedford County Public Schools
Y,19,Moneta Elementary Bedford County Public Schools
N,209,Montvale Elementary Bedford County Public Schools
Y,36,Montvale Elementary Bedford County Public Schools
N,271,New London Academy Elementary Bedford County Public Schools
Y,47,New London Academy Elementary Bedford County Public Schools
N,166,Otter River Elementary Bedford County Public Schools
Y,24,Otter River Elementary Bedford County Public Schools
N,798,Staunton River High Bedford County Public Schools
Y,121,Staunton River High Bedford County Public Schools
N,518,Staunton River Middle Bedford County Public Schools
Y,79,Staunton River Middle Bedford County Public Schools
N,297,Stewartsville Elementary Bedford County Public Schools
Y,43,Stewartsville Elementary Bedford County Public Schools
N,481,Thomas Jefferson Elementary Bedford County Public Schools
Y,49,Thomas Jefferson Elementary Bedford County Public Schools
N,301,Bland County Elementary Bland County Public Schools
Y,46,Bland County Elementary Bland County Public Schools
N,308,Bland County High Bland County Public Schools
Y,64,Bland County High Bland County Public Schools
N,141,Breckinridge Elementary Botetourt County Public Schools
Y,33,Breckinridge Elementary Botetourt County Public Schools
N,229,Buchanan Elementary Botetourt County Public Schools
Y,71,Buchanan Elementary Botetourt County Public Schools
N,301,Central Academy Middle Botetourt County Public Schools
Y,56,Central Academy Middle Botetourt County Public Schools
N,226,Cloverdale Elementary Botetourt County Public Schools
Y,33,Cloverdale Elementary Botetourt County Public Schools
N,364,Colonial Elementary Botetourt County Public Schools
Y,76,Colonial Elementary Botetourt County Public Schools
N,104,Eagle Rock Elementary Botetourt County Public Schools
Y,24,Eagle Rock Elementary Botetourt County Public Schools
N,346,Greenfield Elementary Botetourt County Public Schools
Y,86,Greenfield Elementary Botetourt County Public Schools
N,417,James River High Botetourt County Public Schools
Y,59,James River High Botetourt County Public Schools
N,909,Lord Botetourt High Botetourt County Public Schools
Y,100,Lord Botetourt High Botetourt County Public Schools
N,542,Read Mountain Middle Botetourt County Public Schools
Y,96,Read Mountain Middle Botetourt County Public Schools
N,214,Troutville Elementary Botetourt County Public Schools
Y,45,Troutville Elementary Botetourt County Public Schools
N,141,Highland View Elementary Bristol City Public Schools
Y,40,Highland View Elementary Bristol City Public Schools
N,339,Joseph Van Pelt Elementary Bristol City Public Schools
Y,82,Joseph Van Pelt Elementary Bristol City Public Schools
N,214,Stonewall Jackson Elementary Bristol City Public Schools
Y,26,Stonewall Jackson Elementary Bristol City Public Schools
N,541,Virginia High Bristol City Public Schools
Y,98,Virginia High Bristol City Public Schools
N,392,Virginia Middle Bristol City Public Schools
Y,94,Virginia Middle Bristol City Public Schools
N,189,Washington-Lee Elementary Bristol City Public Schools
Y,44,Washington-Lee Elementary Bristol City Public Schools
N,368,Brunswick High Brunswick County Public Schools
Y,71,Brunswick High Brunswick County Public Schools
N,276,James S. Russell Middle Brunswick County Public Schools
Y,50,James S. Russell Middle Brunswick County Public Schools
N,160,Meherrin Powellton Elementary Brunswick County Public Schools
Y,18,Meherrin Powellton Elementary Brunswick County Public Schools
N,151,Red Oak-Sturgeon Elementary Brunswick County Public Schools
Y,30,Red Oak-Sturgeon Elementary Brunswick County Public Schools
N,267,Totaro Elementary Brunswick County Public Schools
Y,28,Totaro Elementary Brunswick County Public Schools
N,153,Council Elementary/Middle Buchanan County Public Schools
Y,24,Council Elementary/Middle Buchanan County Public Schools
N,94,Council High Buchanan County Public Schools
Y,31,Council High Buchanan County Public Schools
N,290,Grundy High Buchanan County Public Schools
Y,65,Grundy High Buchanan County Public Schools
N,299,Hurley Elementary/Middle Buchanan County Public Schools
Y,66,Hurley Elementary/Middle Buchanan County Public Schools
N,168,Hurley High Buchanan County Public Schools
Y,35,Hurley High Buchanan County Public Schools
N,597,Riverview Elementary/Middle Buchanan County Public Schools
Y,129,Riverview Elementary/Middle Buchanan County Public Schools
N,240,Twin Valley Elementary/Middle Buchanan County Public Schools
Y,38,Twin Valley Elementary/Middle Buchanan County Public Schools
N,165,Twin Valley High Buchanan County Public Schools
Y,33,Twin Valley High Buchanan County Public Schools
N,351,Buckingham Co Elementary Buckingham County Public Schools
Y,61,Buckingham Co Elementary Buckingham County Public Schools
N,71,Buckingham Co Prekindergarten Center Buckingham County Public Schools
Y,17,Buckingham Co Prekindergarten Center Buckingham County Public Schools
N,291,Buckingham Co Primary Buckingham County Public Schools
Y,42,Buckingham Co Primary Buckingham County Public Schools
N,510,Buckingham County High Buckingham County Public Schools
Y,86,Buckingham County High Buckingham County Public Schools
N,432,Buckingham County Middle Buckingham County Public Schools
Y,72,Buckingham County Middle Buckingham County Public Schools
N,153,Enderly Heights Elementary Buena Vista City Public Schools
Y,32,Enderly Heights Elementary Buena Vista City Public Schools
N,172,F.W. Kling Jr. Elementary Buena Vista City Public Schools
Y,61,F.W. Kling Jr. Elementary Buena Vista City Public Schools
N,291,Parry McCluer High Buena Vista City Public Schools
Y,54,Parry McCluer High Buena Vista City Public Schools
N,98,Parry McCluer Middle Buena Vista City Public Schools
Y,26,Parry McCluer Middle Buena Vista City Public Schools
